ID,Name,Type,Bac Strain,Lab,Start Date,Active,Metadata Complete,Experiment Complete,Experiment Validated
50000820,DS_082420,manual_lifespan,OP50-1,Driscoll,2020-08-24,0,1,0,0
50000840,PS_092520,manual_lifespan,OP50-1,Phillips,2020-09-25,0,1,0,0
50000920,LS_100920,manual_lifespan,OP50-1,Lithgow,2020-10-09,0,1,1,0
50000940,DS_100520,manual_lifespan,OP50-1,Driscoll,2020-10-05,0,1,1,0
50001000,LS_101620,manual_lifespan,OP50-1,Lithgow,2020-10-16,0,1,1,0
50001020,LS_101620_2,manual_lifespan,OP50-1,Lithgow,2020-10-16,0,1,1,0
50001040,LS_110520,manual_lifespan,OP50-1,Lithgow,2020-11-05,0,1,1,0
50001060,LS_111120,manual_lifespan,OP50-1,Lithgow,2020-11-11,0,1,1,0
50001200,DS_121020,manual_lifespan,OP50-1,Driscoll,2020-12-10,0,1,0,0
50001240,PS_010821_P1,manual_lifespan,OP50-1,Phillips,2021-01-08,0,1,1,1
50001260,PS_011121_RNAi,manual_lifespan,OP50-1,Phillips,2021-01-11,0,1,1,1
50001300,PS_010421_metfo,manual_lifespan,OP50-1,Phillips,2021-01-04,0,1,1,1
50001320,PS_010821_metfo,manual_lifespan,OP50-1,Phillips,2021-01-08,0,1,1,1
50001340,PS_010821_tret,manual_lifespan,OP50-1,Phillips,2021-01-08,0,1,1,1
50001360,PS_011121_tret,manual_lifespan,OP50-1,Phillips,2021-01-11,0,1,1,1
50001380,PS_011521,manual_lifespan,OP50-1,Phillips,2021-01-15,0,1,1,1
50001400,PS_012221,manual_lifespan,OP50-1,Phillips,2021-01-22,0,1,1,1
50001420,PS_021221,manual_lifespan,OP50-1,Phillips,2021-02-12,0,1,1,0
50001440,PS_021521_RNAi,manual_lifespan,OP50-1,Phillips,2021-02-15,0,1,1,1
50001460,PS_021921,manual_lifespan,OP50-1,Phillips,2021-02-19,0,1,1,1
50001480,PS_022621_C22,manual_lifespan,OP50-1,Phillips,2021-02-26,0,1,1,1
50001500,PS_021221_C22,manual_lifespan,OP50-1,Phillips,2021-02-12,0,1,1,1
50001520,DS_030121,manual_lifespan,OP50-1,Driscoll,2021-03-01,1,0,0,0
50001540,DS_020821,manual_lifespan,OP50-1,Driscoll,2021-02-08,0,1,0,0
