"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006900,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006910,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006920,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006930,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006940,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006950,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006960,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006970,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006980,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300006990,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007000,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007010,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007020,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007030,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"15 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007040,300001710,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,6,NA,2015-03-02,"2 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007050,300001720,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,6,NA,2015-03-02,"2 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007060,300001720,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"1 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007070,300001730,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,11,NA,2015-03-07,"1 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007080,300001740,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,15,NA,2015-03-11,"2 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007090,300001750,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,15,NA,2015-03-11,"2 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007100,300001750,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,17,NA,2015-03-13,"0 lost, 0 bag, 1 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007110,300001760,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,20,NA,2015-03-16,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007120,300001770,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,20,NA,2015-03-16,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007130,300001770,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,20,NA,2015-03-16,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007140,300001770,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,22,22,2015-03-18,"1 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007150,300001780,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,22,NA,2015-03-18,"1 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007160,300001780,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,24,24,2015-03-20,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007170,300001790,30000180,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,24,24,2015-03-20,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_Α-LIP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_lipoic_acid",0,"unspecified","standard",300007180,300001790,30000180,30000040
