"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"1 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008300,300002220,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,10,10,2015-03-06,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008310,300002230,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,10,10,2015-03-06,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008320,300002230,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,10,NA,2015-03-06,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008330,300002230,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,10,NA,2015-03-06,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008340,300002230,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,10,NA,2015-03-06,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008350,300002230,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,13,13,2015-03-09,"10 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008360,300002240,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,13,13,2015-03-09,"10 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008370,300002240,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,13,NA,2015-03-09,"10 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008380,300002240,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,13,NA,2015-03-09,"10 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008390,300002240,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,13,NA,2015-03-09,"10 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008400,300002240,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,13,NA,2015-03-09,"10 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008410,300002240,30000220,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,13,NA,2015-03-09,"10 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_ASP",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"Aspirin",0,"unspecified","standard",300008420,300002240,30000220,30000040
