"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,7,7,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065280,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,7,7,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065290,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065300,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065310,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065320,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065330,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065340,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065350,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065360,300018510,30001810,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"12 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_CURC_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"curcumin",0,"unspecified","standard",300065370,300018510,30001810,30000160
