"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"PS_101419",0,1,9,NA,2019-10-23,"2 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676080,300210690,30019120,30002020
"PS_101419",0,1,9,NA,2019-10-23,"2 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676090,300210690,30019120,30002020
"PS_101419",0,1,14,NA,2019-10-28,"1 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676100,300210700,30019120,30002020
"PS_101419",1,0,16,16,2019-10-30,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676110,300210710,30019120,30002020
"PS_101419",1,0,16,16,2019-10-30,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676120,300210710,30019120,30002020
"PS_101419",1,0,16,16,2019-10-30,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676130,300210710,30019120,30002020
"PS_101419",1,0,18,18,2019-11-01,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676140,300210720,30019120,30002020
"PS_101419",1,0,18,18,2019-11-01,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676150,300210720,30019120,30002020
"PS_101419",1,0,18,18,2019-11-01,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676160,300210720,30019120,30002020
"PS_101419",1,0,18,18,2019-11-01,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676170,300210720,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676180,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676190,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676200,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676210,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676220,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676230,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676240,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676250,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676260,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676270,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676280,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676290,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676300,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676310,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676320,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676330,300210730,30019120,30002020
"PS_101419",1,0,21,21,2019-11-04,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676340,300210730,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676350,300210740,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676360,300210740,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676370,300210740,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676380,300210740,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676390,300210740,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676400,300210740,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676410,300210740,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676420,300210740,30019120,30002020
"PS_101419",1,0,23,23,2019-11-06,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DAPAG_300UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"dapagliflozin",300,"uM","standard",300676430,300210740,30019120,30002020
