"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"PS_022120",1,0,7,7,2020-02-28,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741070,300225010,30020440,30002100
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741080,300225020,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741090,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741100,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741110,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741120,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741130,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741140,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741150,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741160,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741170,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741180,300225030,30020440,30002100
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741190,300225030,30020440,30002100
"PS_022120",0,1,12,NA,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741200,300225030,30020440,30002100
"PS_022120",0,1,12,NA,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741210,300225030,30020440,30002100
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_NATE_100UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",3,"nateglinide",100,"uM","standard",300741220,300225040,30020440,30002100
