"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"2 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007600,300001970,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,3,NA,2015-02-27,"2 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007610,300001970,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,6,NA,2015-03-02,"1 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007620,300001980,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"1 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007630,300001990,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,10,NA,2015-03-06,"4 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007640,300002000,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,10,NA,2015-03-06,"4 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007650,300002000,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,10,NA,2015-03-06,"4 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007660,300002000,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,10,NA,2015-03-06,"4 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007670,300002000,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,13,NA,2015-03-09,"0 lost, 0 bag, 2 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007680,300002010,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,13,NA,2015-03-09,"0 lost, 0 bag, 2 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007690,300002010,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,15,15,2015-03-11,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007700,300002020,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,15,15,2015-03-11,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007710,300002020,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,15,NA,2015-03-11,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007720,300002020,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,15,NA,2015-03-11,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007730,300002020,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",0,1,15,NA,2015-03-11,"0 lost, 0 bag, 3 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007740,300002020,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,17,17,2015-03-13,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007750,300002030,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,17,17,2015-03-13,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007760,300002030,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,20,20,2015-03-16,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007770,300002040,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,22,22,2015-03-18,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007780,300002050,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,22,22,2015-03-18,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007790,300002050,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,22,22,2015-03-18,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007800,300002050,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,24,24,2015-03-20,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007810,300002060,30000200,30000040
"LS 02242015_FOUR_DRUGS TP",1,0,24,24,2015-03-20,"0 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_NP1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"np1",0,"unspecified","standard",300007820,300002060,30000200,30000040
