"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"4 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065680,300018620,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"4 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065690,300018620,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"4 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065700,300018620,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,7,NA,2015-04-20,"4 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065710,300018620,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,11,NA,2015-04-24,"1 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065720,300018630,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,15,15,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065730,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,15,15,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065740,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,15,15,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065750,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065760,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065770,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065780,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065790,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065800,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065810,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065820,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065830,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065840,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",0,1,15,NA,2015-04-28,"10 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065850,300018640,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,17,17,2015-04-30,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065860,300018650,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,17,17,2015-04-30,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065870,300018650,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,17,17,2015-04-30,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065880,300018650,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,17,17,2015-04-30,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065890,300018650,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,17,17,2015-04-30,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065900,300018650,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,19,19,2015-05-02,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065910,300018660,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,21,21,2015-05-04,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065920,300018670,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,21,21,2015-05-04,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065930,300018670,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,23,23,2015-05-06,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065940,300018680,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,23,23,2015-05-06,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065950,300018680,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,23,23,2015-05-06,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065960,300018680,30001820,30000160
"LS DRUG TRIAL 3_DMSO_04.13.15 TP",1,0,25,25,2015-05-08,"0 lost, 0 bag, 0 ext.",2015-04-13,"","AF16_PROPYL GALLATE_1",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"propyl_gallate",0,"unspecified","standard",300065970,300018690,30001820,30000160
