"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"PS_101419",1,0,14,14,2019-10-28,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673050,300210110,30019060,30002020
"PS_101419",0,1,16,NA,2019-10-30,"4 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673060,300210120,30019060,30002020
"PS_101419",0,1,16,NA,2019-10-30,"4 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673070,300210120,30019060,30002020
"PS_101419",0,1,16,NA,2019-10-30,"4 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673080,300210120,30019060,30002020
"PS_101419",0,1,16,NA,2019-10-30,"4 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673090,300210120,30019060,30002020
"PS_101419",1,0,18,18,2019-11-01,"0 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673100,300210130,30019060,30002020
"PS_101419",1,0,21,21,2019-11-04,"1 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673110,300210140,30019060,30002020
"PS_101419",1,0,21,21,2019-11-04,"1 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673120,300210140,30019060,30002020
"PS_101419",1,0,21,21,2019-11-04,"1 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673130,300210140,30019060,30002020
"PS_101419",1,0,21,21,2019-11-04,"1 lost, 0 bag, 0 ext.",2019-10-14,"","JU1630_DMSO_0UM_3",NA,NA,NA,"JU1630","C. tropicalis",2,"Phillips",3,"CTRL_DMSO",0,"uM","standard",300673140,300210140,30019060,30002020
