"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id"
"PS_102714(THIOT)",1,0,10,10,2014-11-03,"1 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000000,300000010,30000000,30000000
"PS_102714(THIOT)",1,0,10,10,2014-11-03,"1 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000010,300000010,30000000,30000000
"PS_102714(THIOT)",0,1,10,NA,2014-11-03,"1 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000020,300000010,30000000,30000000
"PS_102714(THIOT)",1,0,12,12,2014-11-05,"1 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000030,300000020,30000000,30000000
"PS_102714(THIOT)",1,0,12,12,2014-11-05,"1 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000040,300000020,30000000,30000000
"PS_102714(THIOT)",0,1,12,NA,2014-11-05,"1 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000050,300000020,30000000,30000000
"PS_102714(THIOT)",1,0,14,14,2014-11-07,"0 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000060,300000030,30000000,30000000
"PS_102714(THIOT)",1,0,14,14,2014-11-07,"0 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000070,300000030,30000000,30000000
"PS_102714(THIOT)",1,0,14,14,2014-11-07,"0 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000080,300000030,30000000,30000000
"PS_102714(THIOT)",1,0,14,14,2014-11-07,"0 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000090,300000030,30000000,30000000
"PS_102714(THIOT)",0,1,14,NA,2014-11-07,"0 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000100,300000030,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000110,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000120,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000130,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000140,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000150,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000160,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000170,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000180,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000190,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000200,300000040,30000000,30000000
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",1,"CTRL_H2O",0,"unspecified","standard",300000210,300000040,30000000,30000000
