"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"LS 032315 H20_SLBL_DRUGS TP",0,1,7,NA,2015-03-30,"2 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038400,300010790,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,7,NA,2015-03-30,"2 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038410,300010790,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,9,NA,2015-04-01,"3 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038420,300010800,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,9,NA,2015-04-01,"3 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038430,300010800,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,9,NA,2015-04-01,"3 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038440,300010800,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,11,NA,2015-04-03,"1 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038450,300010810,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",1,0,14,14,2015-04-06,"8 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038460,300010820,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",1,0,14,14,2015-04-06,"8 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038470,300010820,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,14,NA,2015-04-06,"8 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038480,300010820,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,14,NA,2015-04-06,"8 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038490,300010820,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,14,NA,2015-04-06,"8 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038500,300010820,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,14,NA,2015-04-06,"8 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038510,300010820,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,14,NA,2015-04-06,"8 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038520,300010820,30001080,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,14,NA,2015-04-06,"8 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-AKETO",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"alpha_ketoglutarate",0,"unspecified","standard",300038530,300010820,30001080,30000100,"10.1038/ncomms14256"
