"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_020720",0,1,4,NA,2020-02-11,"1 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683480,300212210,30019270,30002040,"10.1111/acel.13488"
"PS_020720",0,1,7,NA,2020-02-14,"1 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683490,300212220,30019270,30002040,"10.1111/acel.13488"
"PS_020720",0,1,10,NA,2020-02-17,"3 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683500,300212230,30019270,30002040,"10.1111/acel.13488"
"PS_020720",0,1,10,NA,2020-02-17,"3 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683510,300212230,30019270,30002040,"10.1111/acel.13488"
"PS_020720",0,1,10,NA,2020-02-17,"3 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683520,300212230,30019270,30002040,"10.1111/acel.13488"
"PS_020720",0,1,12,NA,2020-02-19,"2 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683530,300212240,30019270,30002040,"10.1111/acel.13488"
"PS_020720",0,1,12,NA,2020-02-19,"2 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683540,300212240,30019270,30002040,"10.1111/acel.13488"
"PS_020720",0,1,14,NA,2020-02-21,"2 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683550,300212250,30019270,30002040,"10.1111/acel.13488"
"PS_020720",0,1,14,NA,2020-02-21,"2 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683560,300212250,30019270,30002040,"10.1111/acel.13488"
"PS_020720",1,0,17,17,2020-02-24,"6 lost, 0 bag, 0 ext.",2020-02-07,"","AF16_BROMO_0.1UM_3",NA,NA,NA,"AF16","C. briggsae",2,"Phillips",2,"bromocriptine",0.1,"uM","standard",300683570,300212260,30019270,30002040,"10.1111/acel.13488"
