"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735080,300224040,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735090,300224040,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735100,300224040,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735110,300224050,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735120,300224050,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735130,300224050,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735140,300224050,30020300,30002100,"10.1111/acel.13488"
"PS_022120",0,1,12,NA,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735150,300224050,30020300,30002100,"10.1111/acel.13488"
"PS_022120",0,1,12,NA,2020-03-04,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735160,300224050,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735170,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735180,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735190,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735200,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735210,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735220,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735230,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735240,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735250,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735260,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735270,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735280,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735290,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735300,300224060,30020300,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_GLIPZ_75UM_3",NA,NA,NA,"AQ351","C. elegans",2,"Phillips",2,"glipizide",75,"uM","standard",300735310,300224060,30020300,30002100,"10.1111/acel.13488"
