"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_090619",0,1,7,NA,2019-09-13,"1 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706280,300217210,30019730,30002060,"10.1111/acel.13488"
"PS_090619",1,0,12,12,2019-09-18,"1 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706290,300217220,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,12,NA,2019-09-18,"1 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706300,300217220,30019730,30002060,"10.1111/acel.13488"
"PS_090619",1,0,19,19,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706310,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",1,0,19,19,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706320,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,19,NA,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706330,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,19,NA,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706340,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,19,NA,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706350,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,19,NA,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706360,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,19,NA,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706370,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,19,NA,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706380,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,19,NA,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706390,300217230,30019730,30002060,"10.1111/acel.13488"
"PS_090619",0,1,19,NA,2019-09-25,"9 lost, 0 bag, 0 ext.",2019-09-06,"","JU1630_PIOG_1UM_1",NA,NA,NA,"JU1630","C. tropicalis",5,"Phillips",1,"pioglitazone",1,"uM","standard",300706400,300217230,30019730,30002060,"10.1111/acel.13488"
