"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"7 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007250,300001840,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"7 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007260,300001840,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"7 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007270,300001840,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"7 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007280,300001840,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"7 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007290,300001840,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"7 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007300,300001840,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",0,1,8,NA,2015-03-04,"7 lost, 0 bag, 0 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007310,300001840,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",1,0,10,10,2015-03-06,"0 lost, 0 bag, 1 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007320,300001850,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",1,0,10,10,2015-03-06,"0 lost, 0 bag, 1 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007330,300001850,30000190,30000040,"10.1038/ncomms14256"
"LS 02242015_FOUR_DRUGS TP",0,1,10,NA,2015-03-06,"0 lost, 0 bag, 1 ext.",2015-02-24,"","AF16_QUER",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"quercetin",0,"unspecified","standard",300007340,300001850,30000190,30000040,"10.1038/ncomms14256"
