"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_022120",0,1,7,NA,2020-02-28,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744910,300225620,30020530,30002100,"10.1111/acel.13488"
"PS_022120",0,1,7,NA,2020-02-28,"2 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744920,300225620,30020530,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744930,300225630,30020530,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744940,300225640,30020530,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744950,300225640,30020530,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744960,300225640,30020530,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744970,300225640,30020530,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744980,300225640,30020530,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300744990,300225640,30020530,30002100,"10.1111/acel.13488"
"PS_022120",1,0,14,14,2020-03-06,"0 lost, 0 bag, 0 ext.",2020-02-21,"","AQ351_SITAG_1000UM_1",NA,NA,NA,"AQ351","C. elegans",5,"Phillips",3,"sitagliptin",1000,"uM","standard",300745000,300225640,30020530,30002100,"10.1111/acel.13488"
