"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_102714(THIOT)",0,1,7,NA,2014-10-31,"1 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001050,300000210,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",0,1,7,NA,2014-10-31,"1 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001060,300000210,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,10,10,2014-11-03,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001070,300000220,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,10,10,2014-11-03,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001080,300000220,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,10,10,2014-11-03,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001090,300000220,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,12,12,2014-11-05,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001100,300000230,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,12,12,2014-11-05,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001110,300000230,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,14,14,2014-11-07,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001120,300000240,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,14,14,2014-11-07,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001130,300000240,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,17,17,2014-11-10,"2 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001140,300000250,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",0,1,17,NA,2014-11-10,"2 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001150,300000250,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",0,1,17,NA,2014-11-10,"2 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001160,300000250,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,19,19,2014-11-12,"0 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001170,300000260,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",0,1,19,NA,2014-11-12,"0 lost, 0 bag, 1 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001180,300000260,30000030,30000000,"10.1038/ncomms14256"
"PS_102714(THIOT)",1,0,24,24,2014-11-17,"0 lost, 0 bag, 0 ext.",2014-10-24,"","PS 102714 N2-1 EJ,JH",NA,NA,NA,"N2","C. elegans",10,"Phillips",2,"thioflavin_t",50,"unspecified","standard",300001190,300000270,30000030,30000000,"10.1038/ncomms14256"
