"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"LS 032315 H20_SLBL_DRUGS TP",0,1,4,NA,2015-03-27,"3 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038800,300010920,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,4,NA,2015-03-27,"3 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038810,300010920,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,4,NA,2015-03-27,"3 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038820,300010920,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",1,0,7,7,2015-03-30,"12 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038830,300010930,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",1,0,7,7,2015-03-30,"12 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038840,300010930,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,7,NA,2015-03-30,"12 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038850,300010930,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,7,NA,2015-03-30,"12 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038860,300010930,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,7,NA,2015-03-30,"12 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038870,300010930,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,7,NA,2015-03-30,"12 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038880,300010930,30001090,30000100,"10.1038/ncomms14256"
"LS 032315 H20_SLBL_DRUGS TP",0,1,7,NA,2015-03-30,"12 lost, 0 bag, 0 ext.",2015-03-23,"","AF16-VALPR",NA,NA,NA,"AF16","C. briggsae",17,"Lithgow",1,"valproic_acid",0,"unspecified","standard",300038890,300010930,30001090,30000100,"10.1038/ncomms14256"
