"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_071219_METFO_2",0,1,14,NA,2019-07-26,"1 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926670,300266610,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",1,0,17,17,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926680,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926690,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926700,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926710,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926720,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926730,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926740,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926750,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"8 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926760,300266620,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",1,0,19,19,2019-07-31,"0 lost, 0 bag, 1 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926770,300266630,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,19,NA,2019-07-31,"0 lost, 0 bag, 1 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926780,300266630,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926790,300266640,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926800,300266640,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926810,300266640,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926820,300266640,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926830,300266640,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926840,300266640,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926850,300266640,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926860,300266640,30024230,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,21,NA,2019-08-02,"12 lost, 0 bag, 0 ext.",2019-07-12,"","ED3092_METFORMIN_UM_3",NA,NA,NA,"ED3092","C. briggsae",2,"Phillips",1,"metformin",5000,"μM","standard",300926870,300266640,30024230,30002240,"10.1111/acel.13488"
