"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_071219_METFO_2",0,1,7,NA,2019-07-19,"1 lost, 0 bag, 0 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931470,300267870,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,10,NA,2019-07-22,"1 lost, 0 bag, 0 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931480,300267880,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",1,0,14,14,2019-07-26,"1 lost, 0 bag, 0 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931490,300267890,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,14,NA,2019-07-26,"1 lost, 0 bag, 0 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931500,300267890,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",1,0,17,17,2019-07-29,"0 lost, 0 bag, 1 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931510,300267900,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",1,0,17,17,2019-07-29,"0 lost, 0 bag, 1 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931520,300267900,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",1,0,17,17,2019-07-29,"0 lost, 0 bag, 1 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931530,300267900,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",1,0,17,17,2019-07-29,"0 lost, 0 bag, 1 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931540,300267900,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",0,1,17,NA,2019-07-29,"0 lost, 0 bag, 1 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931550,300267900,30024320,30002240,"10.1111/acel.13488"
"PS_071219_METFO_2",1,0,19,19,2019-07-31,"0 lost, 0 bag, 1 ext.",2019-07-12,"","JU1373_CTRL-H2O_UM_3",NA,NA,NA,"JU1373","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300931560,300267910,30024320,30002240,"10.1111/acel.13488"
