"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_022120",0,1,7,NA,2020-02-28,"1 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746220,300225820,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746230,300225830,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746240,300225830,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746250,300225830,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746260,300225830,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,10,10,2020-03-02,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746270,300225830,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746280,300225840,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746290,300225840,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746300,300225840,30020560,30002100,"10.1111/acel.13488"
"PS_022120",1,0,12,12,2020-03-04,"0 lost, 0 bag, 0 ext.",2020-02-21,"","NL130_DMSO_0UM_3",NA,NA,NA,"NL130","C. elegans",2,"Phillips",2,"CTRL_DMSO",0,"uM","standard",300746310,300225840,30020560,30002100,"10.1111/acel.13488"
