"Experiment","Dead","Censor","DeathAge","DeathNoCen","ObsDate","ObsReason","StartDate","ObsNote","Plate","Scanner","Plate Location","Total Worms","Strain","Species","Tech ID","Lab","Rep","Compound","Concentration","Units","Condition","death_id","observation_id","plate_id","experiment_id","doi"
"PS_032919_METFO_2",0,1,5,NA,2019-04-03,"1 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951730,300272610,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,17,17,2019-04-15,"0 lost, 0 bag, 2 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951740,300272620,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",0,1,17,NA,2019-04-15,"0 lost, 0 bag, 2 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951750,300272620,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",0,1,17,NA,2019-04-15,"0 lost, 0 bag, 2 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951760,300272620,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,26,26,2019-04-24,"0 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951770,300272630,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,26,26,2019-04-24,"0 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951780,300272630,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,26,26,2019-04-24,"0 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951790,300272630,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,26,26,2019-04-24,"0 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951800,300272630,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,28,28,2019-04-26,"0 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951810,300272640,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,31,31,2019-04-29,"0 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951820,300272650,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,35,35,2019-05-03,"0 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951830,300272660,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",1,0,35,35,2019-05-03,"0 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_CTRL-H2O_0UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"CTRL_H2O",0,"μM","standard",300951840,300272660,30024720,30002340,"10.1111/acel.13488"
"PS_032919_METFO_2",0,1,7,NA,2019-04-05,"1 lost, 0 bag, 0 ext.",2019-03-29,"","QG834_METFORMIN_50000UM_3",NA,NA,NA,"QG834","C. tropicalis",2,"Phillips",1,"metformin",50000,"μM","standard",300951850,300272680,30024730,30002340,"10.1111/acel.13488"
